************* Module lgeo.lgeo_city
W:145, 4: Unused variable 'lg_quality' (unused-variable)
W:146, 0: Unused import lg_cyan from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_clear_blue from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_dark_flesh from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_light_blue from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_dark_orange from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_light_flesh from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_sand_purple from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_royal_blue from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_very_light_grey from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_grey from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_lime from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_medium_violet from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_orange from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_ior from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_transparent_finish from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_medium_blue from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_pearl_gold from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_light_orange from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_medium_orange from wildcard import (unused-wildcard-import)
W:146, 0: Unused import Texture from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_bright_green from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_salmon from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_pearl_grey from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_light_red from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_light_yellow from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_dark_red from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_tan from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_blue from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_bright_purple from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_chrome from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_pearl_copper from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_blue_green from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_turquoise from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_medium_green from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_bluish_grey from wildcard import (unused-wildcard-import)
W:146, 0: Unused import Irid from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_sand_blue from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_light_violet from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_maersk_blue from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_chrome_finish from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_dark_grey from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_solid_finish from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_sand_green from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_pearl_blue from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_black from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_teal from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_light_purple from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_flesh from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_clear_neon_orange from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_magenta from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_brown from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_earth_orange from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_pink from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_very_light_bluish_grey from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_paradisa_pink from wildcard import (unused-wildcard-import)
W:146, 0: Unused import get_clear_color from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_light_green from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_dark_bluish_grey from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_clear from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_dark_tan from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_sand_red from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_purple from wildcard import (unused-wildcard-import)
W:146, 0: Unused import Color from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_reddish_brown from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_rose from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_violet_blue from wildcard import (unused-wildcard-import)
W:146, 0: Unused import lg_dark_pink from wildcard import (unused-wildcard-import)
************* Module lgeo.include.common.lg_defs
C:100, 0: Unnecessary parens after 'if' keyword (superfluous-parens)
C:124, 0: Unnecessary parens after 'if' keyword (superfluous-parens)
C:129, 0: Unnecessary parens after 'if' keyword (superfluous-parens)
C:179, 0: Unnecessary parens after 'if' keyword (superfluous-parens)
C:203, 0: Unnecessary parens after 'if' keyword (superfluous-parens)
C:270, 0: Unnecessary parens after 'if' keyword (superfluous-parens)
C:471, 0: Unnecessary parens after 'if' keyword (superfluous-parens)
C:523, 0: Unnecessary parens after 'if' keyword (superfluous-parens)
W: 22, 0: Wildcard import lgeo.config.lgeo_cfg (wildcard-import)
W: 29, 0: Wildcard import pov.basic.Vector (wildcard-import)
C: 87, 0: Missing function docstring (missing-docstring)
E:101, 8: Instance of 'tuple' has no 'append' member (no-member)
C:166, 0: Missing function docstring (missing-docstring)
E:180, 8: Instance of 'tuple' has no 'append' member (no-member)
E:204, 8: Instance of 'tuple' has no 'append' member (no-member)
W:244,-1: String statement has no effect (pointless-string-statement)
C:248, 0: Missing function docstring (missing-docstring)
C:282, 0: Invalid constant name "lg_knob_dot" (invalid-name)
C:296, 0: Invalid constant name "lg_tech_knob" (invalid-name)
C:358, 0: Invalid constant name "lg_brick_cylinder" (invalid-name)
C:381, 0: Invalid constant name "lg_plate_cylinder" (invalid-name)
C:404, 0: Invalid constant name "lg_brick_column" (invalid-name)
C:412, 0: Invalid constant name "lg_plate_column" (invalid-name)
C:427, 0: Invalid constant name "lg_support_wall" (invalid-name)
C:438, 0: Invalid constant name "lg_knob_inner_space" (invalid-name)
C:449, 0: Missing function docstring (missing-docstring)
C:480, 0: Invalid constant name "lg_tech_knob_clear" (invalid-name)
C:522, 0: Missing function docstring (missing-docstring)
C:532, 0: Invalid constant name "lg_brick_cylinder_clear" (invalid-name)
C:554, 0: Invalid constant name "lg_plate_cylinder_clear" (invalid-name)
C:576, 0: Invalid constant name "lg_brick_column_clear" (invalid-name)
C:583, 0: Invalid constant name "lg_plate_column_clear" (invalid-name)
C:597, 0: Invalid constant name "lg_support_wall_clear" (invalid-name)
C:607, 0: Invalid constant name "lg_knob_inner_space_clear" (invalid-name)
W: 20, 0: Unused import math (unused-import)
W: 22, 0: Unused import lg_test from wildcard import (unused-wildcard-import)
W: 22, 0: Unused import lg_studs from wildcard import (unused-wildcard-import)
W: 29, 0: Unused import debug from wildcard import (unused-wildcard-import)
W: 29, 0: Unused import z from wildcard import (unused-wildcard-import)
W: 29, 0: Unused import SdlSyntaxException from wildcard import (unused-wildcard-import)
************* Module lgeo.include.common.custom_macros
C: 96, 0: Invalid function name "UnchangedBrick" (invalid-name)
C:106, 0: Invalid function name "StdBrick" (invalid-name)
C:106, 0: Invalid argument name "tx" (invalid-name)
C:106, 0: Invalid argument name "ty" (invalid-name)
C:106, 0: Invalid argument name "tz" (invalid-name)
C:106, 0: Invalid argument name "rx" (invalid-name)
C:106, 0: Invalid argument name "ry" (invalid-name)
C:106, 0: Invalid argument name "rz" (invalid-name)
R:106, 0: Too many arguments (8/5) (too-many-arguments)
************* Module lgeo.include.common.lg_color
C: 35, 0: No space allowed around keyword argument assignment
        ambient = 0.1
                ^ (bad-whitespace)
C: 39, 0: No space allowed around keyword argument assignment
        ambient = 0.1,
                ^ (bad-whitespace)
C: 40, 0: No space allowed around keyword argument assignment
        phong = 0.2,
              ^ (bad-whitespace)
C: 41, 0: No space allowed around keyword argument assignment
        phong_size = 20
                   ^ (bad-whitespace)
C: 47, 0: No space allowed around keyword argument assignment
        ambient = 0.25
                ^ (bad-whitespace)
C: 51, 0: No space allowed around keyword argument assignment
        ambient = 0.25,
                ^ (bad-whitespace)
C: 52, 0: No space allowed around keyword argument assignment
        brilliance = 5,
                   ^ (bad-whitespace)
C: 53, 0: No space allowed around keyword argument assignment
        diffuse = 0.6,
                ^ (bad-whitespace)
C: 54, 0: No space allowed around keyword argument assignment
        metallic = True,
                 ^ (bad-whitespace)
C: 55, 0: No space allowed around keyword argument assignment
        specular = 0.70,
                 ^ (bad-whitespace)
C: 56, 0: No space allowed around keyword argument assignment
        roughness = 1  /  100,
                  ^ (bad-whitespace)
C: 57, 0: No space allowed around keyword argument assignment
        reflection = 0.6,
                   ^ (bad-whitespace)
C: 63, 0: No space allowed around keyword argument assignment
        ambient = 0.22
                ^ (bad-whitespace)
C: 69, 0: No space allowed around keyword argument assignment
            thickness = 0.5,
                      ^ (bad-whitespace)
C: 70, 0: No space allowed around keyword argument assignment
            turbulence = 2.5
                       ^ (bad-whitespace)
C: 72, 0: No space allowed around keyword argument assignment
        ambient = 0.22,
                ^ (bad-whitespace)
C: 73, 0: No space allowed around keyword argument assignment
        brilliance = 2,
                   ^ (bad-whitespace)
C: 74, 0: No space allowed around keyword argument assignment
        diffuse = 0.6,
                ^ (bad-whitespace)
C: 75, 0: No space allowed around keyword argument assignment
        metallic = True,
                 ^ (bad-whitespace)
C: 76, 0: No space allowed around keyword argument assignment
        specular = 0.1,
                 ^ (bad-whitespace)
C: 77, 0: No space allowed around keyword argument assignment
        roughness = 32 / 100,
                  ^ (bad-whitespace)
C: 78, 0: No space allowed around keyword argument assignment
        reflection = 0.07
                   ^ (bad-whitespace)
C: 82, 0: Unnecessary parens after 'if' keyword (superfluous-parens)
C: 84, 0: No space allowed around keyword argument assignment
        ambient = 0.3
                ^ (bad-whitespace)
C: 88, 0: No space allowed around keyword argument assignment
        ambient = 0.3,
                ^ (bad-whitespace)
C: 89, 0: No space allowed around keyword argument assignment
        diffuse = 0.2,
                ^ (bad-whitespace)
C: 90, 0: No space allowed around keyword argument assignment
        reflection = 0.25,
                   ^ (bad-whitespace)
C: 91, 0: No space allowed around keyword argument assignment
        phong = 0.3,
              ^ (bad-whitespace)
C: 92, 0: No space allowed around keyword argument assignment
        phong_size = 60
                   ^ (bad-whitespace)
C: 97, 0: No space allowed around keyword argument assignment
    ior = 1.4
        ^ (bad-whitespace)
C:271, 0: Unnecessary parens after 'if' keyword (superfluous-parens)
E: 33, 3: Undefined variable 'lg_quality' (undefined-variable)
C: 34, 4: Invalid constant name "lg_solid_finish" (invalid-name)
C: 38, 4: Invalid constant name "lg_solid_finish" (invalid-name)
E: 45, 3: Undefined variable 'lg_quality' (undefined-variable)
C: 46, 4: Invalid constant name "lg_chrome_finish" (invalid-name)
C: 50, 4: Invalid constant name "lg_chrome_finish" (invalid-name)
E: 61, 3: Undefined variable 'lg_quality' (undefined-variable)
C: 62, 4: Invalid constant name "lg_pearl_finish" (invalid-name)
C: 66, 4: Invalid constant name "lg_pearl_finish" (invalid-name)
E: 82, 4: Undefined variable 'lg_quality' (undefined-variable)
C: 83, 4: Invalid constant name "lg_transparent_finish" (invalid-name)
C: 87, 4: Invalid constant name "lg_transparent_finish" (invalid-name)
C: 96, 0: Invalid constant name "lg_ior" (invalid-name)
C:102, 0: Invalid constant name "lg_black" (invalid-name)
C:108, 0: Invalid constant name "lg_blue" (invalid-name)
C:114, 0: Invalid constant name "lg_green" (invalid-name)
C:120, 0: Invalid constant name "lg_teal" (invalid-name)
C:124, 0: Invalid constant name "lg_cyan" (invalid-name)
C:127, 0: Invalid constant name "lg_red" (invalid-name)
C:133, 0: Invalid constant name "lg_dark_pink" (invalid-name)
C:139, 0: Invalid constant name "lg_brown" (invalid-name)
C:145, 0: Invalid constant name "lg_grey" (invalid-name)
C:151, 0: Invalid constant name "lg_dark_grey" (invalid-name)
C:157, 0: Invalid constant name "lg_light_blue" (invalid-name)
C:163, 0: Invalid constant name "lg_bright_green" (invalid-name)
C:169, 0: Invalid constant name "lg_turquoise" (invalid-name)
C:173, 0: Invalid constant name "lg_blue_green" (invalid-name)
C:176, 0: Invalid constant name "lg_salmon" (invalid-name)
C:180, 0: Invalid constant name "lg_light_red" (invalid-name)
C:183, 0: Invalid constant name "lg_pink" (invalid-name)
C:187, 0: Invalid constant name "lg_rose" (invalid-name)
C:190, 0: Invalid constant name "lg_yellow" (invalid-name)
C:196, 0: Invalid constant name "lg_white" (invalid-name)
C:202, 0: Invalid constant name "lg_light_green" (invalid-name)
C:208, 0: Invalid constant name "lg_light_yellow" (invalid-name)
C:214, 0: Invalid constant name "lg_tan" (invalid-name)
C:220, 0: Invalid constant name "lg_light_violet" (invalid-name)
C:226, 0: Invalid constant name "lg_purple" (invalid-name)
C:230, 0: Invalid constant name "lg_violet" (invalid-name)
C:233, 0: Invalid constant name "lg_violet_blue" (invalid-name)
C:239, 0: Invalid constant name "lg_orange" (invalid-name)
C:245, 0: Invalid constant name "lg_magenta" (invalid-name)
C:251, 0: Invalid constant name "lg_lime" (invalid-name)
C:257, 0: Invalid constant name "lg_dark_tan" (invalid-name)
C:263, 0: Invalid constant name "lg_light_purple" (invalid-name)
C:270, 0: Missing function docstring (missing-docstring)
C:289, 0: Invalid constant name "lg_clear_blue" (invalid-name)
E:291, 4: Undefined variable 'lg_quality' (undefined-variable)
C:296, 0: Invalid constant name "lg_clear_blue" (invalid-name)
E:298, 4: Undefined variable 'lg_quality' (undefined-variable)
C:303, 0: Invalid constant name "lg_clear_blue" (invalid-name)
E:305, 4: Undefined variable 'lg_quality' (undefined-variable)
C:310, 0: Invalid constant name "lg_clear_blue" (invalid-name)
E:312, 4: Undefined variable 'lg_quality' (undefined-variable)
C:317, 0: Invalid constant name "lg_clear_blue" (invalid-name)
E:319, 4: Undefined variable 'lg_quality' (undefined-variable)
C:324, 0: Invalid constant name "lg_clear_blue" (invalid-name)
E:326, 4: Undefined variable 'lg_quality' (undefined-variable)
C:331, 0: Invalid constant name "lg_clear_blue" (invalid-name)
E:333, 4: Undefined variable 'lg_quality' (undefined-variable)
C:338, 0: Invalid constant name "lg_clear_blue" (invalid-name)
E:340, 4: Undefined variable 'lg_quality' (undefined-variable)
C:345, 0: Invalid constant name "lg_clear_blue" (invalid-name)
E:347, 4: Undefined variable 'lg_quality' (undefined-variable)
C:352, 0: Invalid constant name "lg_clear" (invalid-name)
E:354, 4: Undefined variable 'lg_quality' (undefined-variable)
C:359, 0: Invalid constant name "lg_clear_neon_orange" (invalid-name)
E:361, 4: Undefined variable 'lg_quality' (undefined-variable)
C:366, 0: Invalid constant name "lg_bright_purple" (invalid-name)
C:373, 0: Invalid constant name "lg_reddish_brown" (invalid-name)
C:380, 0: Invalid constant name "lg_bluish_grey" (invalid-name)
C:387, 0: Invalid constant name "lg_dark_bluish_grey" (invalid-name)
C:394, 0: Invalid constant name "lg_medium_blue" (invalid-name)
C:401, 0: Invalid constant name "lg_medium_green" (invalid-name)
C:408, 0: Invalid constant name "lg_paradisa_pink" (invalid-name)
C:415, 0: Invalid constant name "lg_light_flesh" (invalid-name)
C:422, 0: Invalid constant name "lg_medium_violet" (invalid-name)
C:429, 0: Invalid constant name "lg_dark_flesh" (invalid-name)
C:436, 0: Invalid constant name "lg_royal_blue" (invalid-name)
C:443, 0: Invalid constant name "lg_flesh" (invalid-name)
C:450, 0: Invalid constant name "lg_pearl_copper" (invalid-name)
C:457, 0: Invalid constant name "lg_pearl_grey" (invalid-name)
C:464, 0: Invalid constant name "lg_pearl_blue" (invalid-name)
C:471, 0: Invalid constant name "lg_pearl_gold" (invalid-name)
C:478, 0: Invalid constant name "lg_very_light_bluish_grey" (invalid-name)
C:485, 0: Invalid constant name "lg_dark_blue" (invalid-name)
C:492, 0: Invalid constant name "lg_dark_green" (invalid-name)
C:499, 0: Invalid constant name "lg_dark_red" (invalid-name)
C:506, 0: Invalid constant name "lg_maersk_blue" (invalid-name)
C:513, 0: Invalid constant name "lg_gold_chrome" (invalid-name)
C:520, 0: Invalid constant name "lg_sand_purple" (invalid-name)
C:527, 0: Invalid constant name "lg_sand_red" (invalid-name)
C:534, 0: Invalid constant name "lg_earth_orange" (invalid-name)
C:541, 0: Invalid constant name "lg_sand_purple" (invalid-name)
C:548, 0: Invalid constant name "lg_sand_green" (invalid-name)
C:555, 0: Invalid constant name "lg_sand_blue" (invalid-name)
C:561, 0: Invalid constant name "lg_chrome" (invalid-name)
C:568, 0: Invalid constant name "lg_light_orange" (invalid-name)
C:575, 0: Invalid constant name "lg_dark_orange" (invalid-name)
C:582, 0: Invalid constant name "lg_very_light_grey" (invalid-name)
C:589, 0: Invalid constant name "lg_undefined" (invalid-name)
C:595, 0: Invalid constant name "lg_medium_orange" (invalid-name)
************* Module lgeo.include.brick.lg_3022
C: 18, 0: Line too long (85/79) (line-too-long)
W:482,-1: String statement has no effect (pointless-string-statement)
************* Module lgeo.include.brick.lg_3010
C: 16, 0: Line too long (82/79) (line-too-long)
W:485,-1: String statement has no effect (pointless-string-statement)
W: 32, 0: Unused Object imported from pov.other.Object (unused-import)
************* Module lgeo.include.brick.lg_2441
C:  1, 0: Too many lines in module (2767/2000) (too-many-lines)
C: 42, 0: Invalid constant name "lg_angle" (invalid-name)
W:2767,-1: String statement has no effect (pointless-string-statement)
************* Module lgeo.include.brick.lg_2412b
W:1150,-1: String statement has no effect (pointless-string-statement)
************* Module lgeo.include.brick.lg_3003
W: 15, 0: Wildcard import lgeo.include.common.brick_subparts (wildcard-import)
W: 16, 0: Wildcard import lgeo.include.common.lg_defs (wildcard-import)
W:451,-1: String statement has no effect (pointless-string-statement)
W: 15, 0: Unused import get_knob_inner_space from wildcard import (unused-wildcard-import)
W: 15, 0: Unused import LG_WALL_WIDTH from wildcard import (unused-wildcard-import)
W: 15, 0: Unused import get_brick_coloumn from wildcard import (unused-wildcard-import)
W: 15, 0: Unused import Object from wildcard import (unused-wildcard-import)
W: 15, 0: Unused import Box from wildcard import (unused-wildcard-import)
W: 15, 0: Unused import LG_BRICK_INNER_HEIGHT from wildcard import (unused-wildcard-import)
W: 15, 0: Unused import lg_brick_column from wildcard import (unused-wildcard-import)
W: 15, 0: Unused import lg_knob_inner_space from wildcard import (unused-wildcard-import)
W: 15, 0: Unused import LG_PLATE_INNER_HEIGHT from wildcard import (unused-wildcard-import)
W: 15, 0: Unused import lg_knob from wildcard import (unused-wildcard-import)
W: 16, 0: Unused import Scale from wildcard import (unused-wildcard-import)
W: 16, 0: Unused import lg_plate_cylinder from wildcard import (unused-wildcard-import)
W: 16, 0: Unused import lg_tech_knob from wildcard import (unused-wildcard-import)
W: 16, 0: Unused import LG_CROSSAXLE_WIDTH from wildcard import (unused-wildcard-import)
W: 16, 0: Unused import lg_tech_knob_clear from wildcard import (unused-wildcard-import)
W: 16, 0: Unused import LG_CYLINDER_WALL_WIDTH from wildcard import (unused-wildcard-import)
W: 16, 0: Unused import lg_brick_cylinder from wildcard import (unused-wildcard-import)
W: 16, 0: Unused import lg_brick_cylinder_clear from wildcard import (unused-wildcard-import)
W: 16, 0: Unused import lg_test from wildcard import (unused-wildcard-import)
W: 16, 0: Unused import y from wildcard import (unused-wildcard-import)
